timeframe_days,rank,price,volume_percent,distance_from_current,distance_percent
7,1,321.17904999999996,3.085445603240804,12.179049999999961,3.9414401294498256
7,2,318.56545,2.377432221296485,9.565449999999998,3.0956148867313913
7,3,327.71305,2.1602093056355276,18.71305000000001,6.0560032362459575
7,4,323.13925,1.5850202118677714,14.139250000000004,4.575809061488675
7,5,302.55715,1.5374819681225251,-6.442850000000021,-2.0850647249191008
7,6,316.27855,1.2125820336677666,7.278549999999996,2.355517799352749
7,7,329.01985,1.1903643623097486,20.01985000000002,6.478915857605185
14,1,302.9525,2.1406819208593646,-6.047500000000014,-1.9571197411003283
14,2,328.8203,2.1201273826725977,19.820299999999975,6.414336569579279
14,3,320.6083,2.0567751163421937,11.608299999999986,3.756731391585756
14,4,321.8401,2.045918786929855,12.840100000000007,4.155372168284792
14,5,318.1447,1.9831606731988602,9.1447,2.959449838187702
14,6,304.5949,1.904528861540696,-4.4051000000000045,-1.4255987055016195
14,7,333.3369,1.8727359291180277,24.336900000000014,7.8760194174757325
14,8,327.58849999999995,1.7217058853762222,18.588499999999954,6.015695792880244
30,1,321.0909855,2.1052794258040066,12.090985499999988,3.912940291262132
30,2,302.5503225,2.043328332809103,-6.449677500000007,-2.0872742718446626
30,3,319.0865895,2.03570959193059,10.086589500000002,3.2642684466019425
30,4,329.10856950000004,1.828694395827744,20.108569500000044,6.507627669902927
30,5,314.5766985,1.786582555542419,5.57669850000002,1.8047567961165114
30,6,304.05361949999997,1.684210417260675,-4.946380500000032,-1.600770388349525
30,7,316.5810945,1.6306719522674313,7.581094500000006,2.453428640776701
30,8,310.0668075,1.4654359871024165,1.0668074999999817,0.34524514563106207
